기간	구분	성별	합계	20세미만	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85세이상
2019	중랑구	계	52,196	201	2,044	5,604	5,126	4,408	3,431	4,246	4,645	5,400	5,214	3,687	3,098	2,544	1,591	957
2019	중랑구	남자	25,988	90	702	2,667	2,908	2,639	2,051	2,663	2,944	3,134	2,506	1,544	975	658	343	164
2019	중랑구	여자	26,208	111	1,342	2,937	2,218	1,769	1,380	1,583	1,701	2,266	2,708	2,143	2,123	1,886	1,248	793
2019	성북구	계	57,832	1,355	10,608	9,391	5,161	3,810	2,938	3,513	3,125	3,397	3,598	2,773	2,779	2,486	1,772	1,126
2019	성북구	남자	26,131	447	3,753	5,134	2,964	2,179	1,666	1,990	1,854	1,765	1,537	977	746	553	345	221
2019	성북구	여자	31,701	908	6,855	4,257	2,197	1,631	1,272	1,523	1,271	1,632	2,061	1,796	2,033	1,933	1,427	905
2019	강북구	계	42,791	295	2,816	4,321	3,369	3,028	2,572	3,303	3,395	3,864	4,197	3,337	3,075	2,707	1,649	863
2019	강북구	남자	19,517	71	696	2,114	1,969	1,827	1,507	1,954	1,964	2,076	1,922	1,270	920	668	388	171
2019	강북구	여자	23,274	224	2,120	2,207	1,400	1,201	1,065	1,349	1,431	1,788	2,275	2,067	2,155	2,039	1,261	692
2019	도봉구	계	32,653	159	1,509	2,452	2,299	2,371	2,070	2,713	2,663	3,102	3,457	2,595	2,395	2,231	1,607	1,030
2019	도봉구	남자	14,396	49	368	1,158	1,327	1,401	1,169	1,539	1,501	1,588	1,489	978	725	548	345	211
2019	도봉구	여자	18,257	110	1,141	1,294	972	970	901	1,174	1,162	1,514	1,968	1,617	1,670	1,683	1,262	819
2019	노원구	계	53,365	724	5,509	4,848	3,449	3,391	2,985	3,656	3,507	4,065	4,932	4,195	4,048	3,753	2,608	1,695
2019	노원구	남자	22,556	304	2,421	2,825	2,056	1,927	1,625	1,990	1,785	1,819	1,807	1,327	1,068	827	477	298
2019	노원구	여자	30,809	420	3,088	2,023	1,393	1,464	1,360	1,666	1,722	2,246	3,125	2,868	2,980	2,926	2,131	1,397
2019	은평구	계	52,814	251	2,539	6,610	5,708	4,901	3,679	4,184	3,602	4,112	4,555	3,532	3,280	2,880	1,904	1,077
2019	은평구	남자	23,209	114	802	3,007	3,091	2,637	1,978	2,327	1,996	2,003	1,820	1,213	939	676	383	223
2019	은평구	여자	29,605	137	1,737	3,603	2,617	2,264	1,701	1,857	1,606	2,109	2,735	2,319	2,341	2,204	1,521	854
2019	서대문구	계	46,449	744	8,292	8,485	4,713	3,337	2,480	2,673	2,282	2,444	2,661	2,104	2,015	1,923	1,475	821
2019	서대문구	남자	20,161	214	2,705	4,319	2,617	1,813	1,342	1,442	1,238	1,225	1,103	749	543	416	293	142
2019	서대문구	여자	26,288	530	5,587	4,166	2,096	1,524	1,138	1,231	1,044	1,219	1,558	1,355	1,472	1,507	1,182	679
2019	마포구	계	59,248	554	6,608	12,239	9,331	6,562	4,275	3,934	2,794	2,502	2,501	1,971	2,013	1,861	1,302	801
2019	마포구	남자	25,671	256	2,273	5,543	4,610	3,298	2,122	2,006	1,489	1,199	954	644	488	411	232	146
2019	마포구	여자	33,577	298	4,335	6,696	4,721	3,264	2,153	1,928	1,305	1,303	1,547	1,327	1,525	1,450	1,070	655
2019	양천구	계	36,345	142	1,182	3,314	3,489	3,174	2,653	2,929	2,797	3,252	3,668	2,865	2,472	1,971	1,447	990
2019	양천구	남자	16,658	65	404	1,585	1,991	1,866	1,508	1,671	1,626	1,707	1,571	1,042	738	434	271	179
2019	양천구	여자	19,687	77	778	1,729	1,498	1,308	1,145	1,258	1,171	1,545	2,097	1,823	1,734	1,537	1,176	811
2019	강서구	계	79,371	325	4,108	13,600	11,648	8,271	5,633	5,369	4,560	5,115	5,906	4,447	3,815	2,984	2,097	1,493
2019	강서구	남자	36,229	133	1,071	5,637	6,427	4,799	3,210	3,120	2,571	2,525	2,427	1,644	1,233	748	396	288
2019	강서구	여자	43,142	192	3,037	7,963	5,221	3,472	2,423	2,249	1,989	2,590	3,479	2,803	2,582	2,236	1,701	1,205
2019	구로구	계	47,740	232	2,609	7,184	5,957	4,424	3,317	3,687	3,283	3,553	3,699	2,833	2,616	2,066	1,466	814
2019	구로구	남자	23,455	106	824	3,360	3,472	2,693	2,068	2,328	2,083	1,971	1,659	1,070	849	525	301	146
2019	구로구	여자	24,285	126	1,785	3,824	2,485	1,731	1,249	1,359	1,200	1,582	2,040	1,763	1,767	1,541	1,165	668
2019	금천구	계	37,778	138	1,881	6,120	4,790	3,370	2,326	2,887	2,966	3,339	3,048	2,186	1,762	1,531	923	511
2019	금천구	남자	20,699	55	644	3,358	3,168	2,289	1,523	1,892	1,933	2,037	1,542	906	619	409	220	104
2019	금천구	여자	17,079	83	1,237	2,762	1,622	1,081	803	995	1,033	1,302	1,506	1,280	1,143	1,122	703	407
2019	영등포구	계	58,214	251	3,277	11,754	9,638	5,907	3,781	3,938	3,298	3,604	3,507	2,634	2,352	2,014	1,378	881
2019	영등포구	남자	29,297	112	939	5,503	5,639	3,504	2,234	2,456	2,122	2,171	1,748	1,112	828	495	288	146
2019	영등포구	여자	28,917	139	2,338	6,251	3,999	2,403	1,547	1,482	1,176	1,433	1,759	1,522	1,524	1,519	1,090	735
2019	동작구	계	60,088	891	7,837	13,256	8,329	5,228	3,396	3,325	2,775	2,804	3,060	2,575	2,396	1,983	1,383	850
2019	동작구	남자	28,746	385	3,158	6,917	4,772	3,018	1,999	1,982	1,576	1,458	1,186	833	613	441	264	144
2019	동작구	여자	31,342	506	4,679	6,339	3,557	2,210	1,397	1,343	1,199	1,346	1,874	1,742	1,783	1,542	1,119	706
2019	관악구	계	119,863	1,023	14,851	33,127	19,915	10,984	6,510	6,184	4,995	4,930	4,844	3,683	3,388	2,763	1,719	947
2019	관악구	남자	62,600	466	5,555	17,438	12,185	6,833	4,147	4,097	3,217	2,799	2,206	1,410	1,069	645	366	167
2019	관악구	여자	57,263	557	9,296	15,689	7,730	4,151	2,363	2,087	1,778	2,131	2,638	2,273	2,319	2,118	1,353	780
2019	서초구	계	42,667	521	2,550	6,448	6,800	5,479	3,621	3,590	2,593	2,336	2,452	1,858	1,640	1,275	829	675
2019	서초구	남자	18,792	227	851	2,840	3,399	2,816	1,809	1,888	1,349	1,110	896	576	449	296	167	119
2019	서초구	여자	23,875	294	1,699	3,608	3,401	2,663	1,812	1,702	1,244	1,226	1,556	1,282	1,191	979	662	556
2019	강남구	계	66,073	607	3,362	10,619	11,474	9,386	5,964	5,095	3,551	3,139	3,386	2,805	2,470	1,863	1,255	1,097
2019	강남구	남자	28,187	276	1,056	4,458	5,312	4,451	2,866	2,732	1,866	1,489	1,198	879	708	455	239	202
2019	강남구	여자	37,886	331	2,306	6,161	6,162	4,935	3,098	2,363	1,685	1,650	2,188	1,926	1,762	1,408	1,016	895
2019	송파구	계	68,861	282	2,906	10,754	11,025	8,596	5,673	5,306	4,144	4,384	4,663	3,448	2,962	2,182	1,434	1,102
2019	송파구	남자	31,036	136	978	4,623	5,697	4,352	2,954	2,958	2,301	2,119	1,834	1,176	872	554	296	186
2019	송파구	여자	37,825	146	1,928	6,131	5,328	4,244	2,719	2,348	1,843	2,265	2,829	2,272	2,090	1,628	1,138	916
2019	강동구	계	45,188	157	1,859	5,687	5,270	4,403	3,306	3,631	3,332	3,886	4,134	3,042	2,500	1,876	1,276	829
2019	강동구	남자	21,674	68	598	2,582	2,940	2,492	1,877	2,192	2,025	2,130	1,823	1,174	833	508	279	153
2019	강동구	여자	23,514	89	1,261	3,105	2,330	1,911	1,429	1,439	1,307	1,756	2,311	1,868	1,667	1,368	997	676
