기간	자치구	성별	합계	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택이외의 거처
2019	은평구	여자	29,605	25,558	9,366	5,391	567	9,753	481	4,047
2019	서대문구	계	46,449	41,741	21,659	8,957	1,104	8,507	1,514	4,708
2019	서대문구	남자	20,161	18,080	10,037	3,239	440	3,670	694	2,081
2019	서대문구	여자	26,288	23,661	11,622	5,718	664	4,837	820	2,627
2019	마포구	계	59,248	47,643	20,927	11,753	649	12,595	1,719	11,605
2019	마포구	남자	25,671	20,949	10,167	4,369	275	5,285	853	4,722
2019	마포구	여자	33,577	26,694	10,760	7,384	374	7,310	866	6,883
2019	양천구	계	36,345	33,289	12,308	9,976	722	9,695	588	3,056
2019	양천구	남자	16,658	15,059	6,620	3,645	268	4,219	307	1,599
2019	양천구	여자	19,687	18,230	5,688	6,331	454	5,476	281	1,457
2019	강서구	계	79,371	56,978	16,447	23,041	904	15,622	964	22,393
2019	강서구	남자	36,229	26,098	8,655	9,364	382	7,148	549	10,131
2019	강서구	여자	43,142	30,880	7,792	13,677	522	8,474	415	12,262
2019	구로구	계	47,740	35,208	14,535	12,611	1,385	5,759	918	12,532
2019	구로구	남자	23,455	16,770	7,940	5,067	543	2,679	541	6,685
2019	구로구	여자	24,285	18,438	6,595	7,544	842	3,080	377	5,847
2019	금천구	계	37,778	28,594	15,237	5,960	711	5,651	1,035	9,184
2019	금천구	남자	20,699	15,172	8,631	2,727	302	2,891	621	5,527
2019	금천구	여자	17,079	13,422	6,606	3,233	409	2,760	414	3,657
2019	영등포구	계	58,214	38,967	19,313	12,058	344	5,356	1,896	19,247
2019	영등포구	남자	29,297	19,001	10,045	5,011	150	2,766	1,029	10,296
2019	영등포구	여자	28,917	19,966	9,268	7,047	194	2,590	867	8,951
2019	동작구	계	60,088	55,994	33,222	9,817	893	9,721	2,341	4,094
2019	동작구	남자	28,746	26,377	16,849	3,629	377	4,275	1,247	2,369
2019	동작구	여자	31,342	29,617	16,373	6,188	516	5,446	1,094	1,725
2019	관악구	계	119,863	100,459	64,558	11,833	1,125	12,544	10,399	19,404
2019	관악구	남자	62,600	52,498	35,141	4,928	471	5,844	6,114	10,102
2019	관악구	여자	57,263	47,961	29,417	6,905	654	6,700	4,285	9,302
2019	서초구	계	42,667	35,963	13,101	11,957	736	8,744	1,425	6,704
2019	서초구	남자	18,792	15,328	6,120	4,352	263	3,830	763	3,464
2019	서초구	여자	23,875	20,635	6,981	7,605	473	4,914	662	3,240
2019	강남구	계	66,073	55,051	19,287	19,693	1,066	12,763	2,242	11,022
2019	강남구	남자	28,187	22,814	8,876	7,115	450	5,286	1,087	5,373
2019	강남구	여자	37,886	32,237	10,411	12,578	616	7,477	1,155	5,649
2019	송파구	계	68,861	56,406	16,345	14,509	723	22,867	1,962	12,455
2019	송파구	남자	31,036	25,109	8,457	5,235	266	10,063	1,088	5,927
2019	송파구	여자	37,825	31,297	7,888	9,274	457	12,804	874	6,528
2019	강동구	계	45,188	39,516	18,661	9,843	352	9,253	1,407	5,672
2019	강동구	남자	21,674	18,697	9,839	3,860	131	4,100	767	2,977
2019	강동구	여자	23,514	20,819	8,822	5,983	221	5,153	640	2,695
